Numero de parejas, Tiempo de ejecución
420, 0.05368960 
420, 0.06317190 
420, 0.07694830 
420, 0.07958140 
420, 0.06095190 
420, 0.06589700 
420, 0.08188490 
420, 0.04751350 
420, 0.04800880 
420, 0.05833080 
420, 0.04583410 
420, 0.04500110 
420, 0.06245780 
420, 0.06935430 
420, 0.07685690 
430, 0.04778320 
430, 0.04014880 
430, 0.03376230 
430, 0.03504840 
430, 0.04595090 
430, 0.05245670 
430, 0.04017810 
430, 0.06110090 
430, 0.03124300 
430, 0.03330110 
430, 0.03326270 
430, 0.02965470 
430, 0.03990590 
430, 0.04611620 
430, 0.03830070 
430, 0.03488410 
430, 0.03264990 
430, 0.03178700 
430, 0.04757670 
430, 0.03106570 
440, 0.03890440 
440, 0.03134520 
440, 0.03284620 
440, 0.04047670 
440, 0.03408370 
440, 0.03423060 
440, 0.03130230 
440, 0.03219750 
440, 0.03566380 
440, 0.03507340 
440, 0.03131410 
440, 0.03054300 
440, 0.03145810 
440, 0.04035730 
440, 0.03338570 
440, 0.03316490 
440, 0.03438500 
440, 0.03328530 
440, 0.03461230 
440, 0.04011200 
450, 0.03941220 
450, 0.03420610 
450, 0.03347230 
450, 0.03442300 
450, 0.03224830 
450, 0.03486780 
450, 0.03604570 
450, 0.03343980 
450, 0.03453380 
450, 0.03356770 
450, 0.03511900 
450, 0.03838110 
450, 0.03959540 
450, 0.07364670 
450, 0.03175880 
450, 0.03111560 
450, 0.03242200 
450, 0.03157190 
450, 0.03272810 
450, 0.03317710 
460, 0.04076380 
460, 0.03742490 
460, 0.03903510 
460, 0.04002460 
460, 0.03811400 
460, 0.03660390 
460, 0.03558080 
460, 0.03624760 
460, 0.03400410 
460, 0.03290210 
460, 0.03308310 
460, 0.03540290 
460, 0.03717960 
460, 0.03987660 
460, 0.03482710 
460, 0.03479520 
460, 0.03471640 
460, 0.05090300 
460, 0.03583300 
460, 0.03473630 
470, 0.03522550 
470, 0.03452910 
470, 0.04116540 
470, 0.03837210 
470, 0.03653800 
470, 0.03903420 
470, 0.03419730 
470, 0.03550970 
470, 0.03644380 
470, 0.03776510 
470, 0.03885930 
470, 0.03510400 
470, 0.03907220 
470, 0.03987840 
470, 0.03736260 
470, 0.03624120 
470, 0.03662970 
470, 0.03478230 
470, 0.03736600 
470, 0.03512540 
480, 0.05639680 
480, 0.04004740 
480, 0.04119630 
480, 0.04038160 
480, 0.04036160 
480, 0.04570770 
480, 0.04007250 
480, 0.04143770 
480, 0.05750000 
480, 0.04266670 
480, 0.04991090 
480, 0.06169560 
480, 0.04101270 
480, 0.06189170 
480, 0.04376750 
480, 0.04221140 
480, 0.04220070 
480, 0.04998440 
480, 0.05341880 
480, 0.05410090 
490, 0.04154800 
490, 0.04244910 
490, 0.04189190 
490, 0.05321260 
490, 0.05752220 
490, 0.03998350 
490, 0.04001920 
490, 0.03856140 
490, 0.03892240 
490, 0.04221810 
490, 0.03881200 
490, 0.04364230 
490, 0.04040570 
490, 0.04765780 
490, 0.04744090 
490, 0.04136170 
490, 0.04305980 
490, 0.06462370 
490, 0.05070030 
490, 0.06657830 
500, 0.05896780 
500, 0.05404630 
500, 0.05417810 
500, 0.04937430 
500, 0.04356010 
500, 0.04312590 
500, 0.04269070 
500, 0.06081240 
500, 0.04426390 
500, 0.04495320 
500, 0.08113960 
500, 0.04179130 
500, 0.04247970 
500, 0.04308420 
500, 0.04656180 
500, 0.05994310 
500, 0.07051250 
500, 0.04596600 
500, 0.06150270 
500, 0.06681460 
510, 0.07284940 
510, 0.07655780 
510, 0.06708570 
510, 0.05775400 
510, 0.06946240 
510, 0.06790190 
510, 0.06558590 
510, 0.07305460 
510, 0.07285050 
510, 0.06936830 
510, 0.06714160 
510, 0.07830580 
510, 0.07434740 
510, 0.06250750 
510, 0.06573500 
510, 0.08020710 
510, 0.07587260 
510, 0.08910350 
510, 0.07752840 
510, 0.07943590 
520, 0.07351900 
520, 0.07395280 
520, 0.07702120 
520, 0.07497370 
520, 0.06822680 
520, 0.05020080 
520, 0.05160990 
520, 0.06452880 
520, 0.05170730 
520, 0.06829490 
520, 0.05028700 
520, 0.05296170 
520, 0.05132710 
520, 0.05587880 
520, 0.05141570 
520, 0.05372460 
520, 0.05381690 
520, 0.05578380 
520, 0.05091290 
520, 0.06963360 
530, 0.07527080 
530, 0.07140410 
530, 0.05772010 
530, 0.06152360 
530, 0.05332530 
530, 0.10251500 
530, 0.05477450 
530, 0.05071260 
530, 0.07960550 
530, 0.05584220 
530, 0.05036480 
530, 0.04576170 
530, 0.04973830 
530, 0.04983600 
530, 0.05167750 
530, 0.04664680 
530, 0.04992760 
530, 0.06799960 
530, 0.05696170 
530, 0.05113140 
540, 0.05497550 
